Item,GUID,Type,Reference
account,2628a46a-a6ad-4ae0-b854-2b12d9fe6f9e,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-account
accountExpires,bf967915-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-accountExpires
accountNameHistory,031952ec-3b72-11d2-90cc-00c04fd91ab1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-accountNameHistory
aCSAggregateTokenRatePerUser,7f56127d-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSAggregateTokenRatePerUser
aCSAllocableRSVPBandwidth,7f561283-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSAllocableRSVPBandwidth
aCSCacheTimeout,1cb355a1-56d0-11d1-a9c6-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSCacheTimeout
aCSDirection,7f56127a-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSDirection
aCSDSBMDeadTime,1cb355a0-56d0-11d1-a9c6-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSDSBMDeadTime
aCSDSBMPriority,1cb3559e-56d0-11d1-a9c6-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSDSBMPriority
aCSDSBMRefresh,1cb3559f-56d0-11d1-a9c6-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSDSBMRefresh
aCSEnableACSService,7f561287-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSEnableACSService
aCSEnableRSVPAccounting,f072230e-aef5-11d1-bdcf-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSEnableRSVPAccounting
aCSEnableRSVPMessageLogging,7f561285-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSEnableRSVPMessageLogging
aCSEventLogLevel,7f561286-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSEventLogLevel
aCSIdentityName,dab029b6-ddf7-11d1-90a5-00c04fd91ab1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSIdentityName
aCSMaxAggregatePeakRatePerUser,f072230c-aef5-11d1-bdcf-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaxAggregatePeakRatePerUser
aCSMaxDurationPerFlow,7f56127e-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaxDurationPerFlow
aCSMaximumSDUSize,87a2d8f9-3b90-11d2-90cc-00c04fd91ab1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaximumSDUSize
aCSMaxNoOfAccountFiles,f0722310-aef5-11d1-bdcf-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaxNoOfAccountFiles
aCSMaxNoOfLogFiles,1cb3559c-56d0-11d1-a9c6-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaxNoOfLogFiles
aCSMaxPeakBandwidth,7f561284-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaxPeakBandwidth
aCSMaxPeakBandwidthPerFlow,7f56127c-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaxPeakBandwidthPerFlow
aCSMaxSizeOfRSVPAccountFile,f0722311-aef5-11d1-bdcf-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaxSizeOfRSVPAccountFile
aCSMaxSizeOfRSVPLogFile,1cb3559d-56d0-11d1-a9c6-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaxSizeOfRSVPLogFile
aCSMaxTokenBucketPerFlow,81f6e0df-3b90-11d2-90cc-00c04fd91ab1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaxTokenBucketPerFlow
aCSMaxTokenRatePerFlow,7f56127b-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSMaxTokenRatePerFlow
